"Fila";"Jan 1";"Fev 2";"Mar 3";"Abr 4";"Mai 5";"Jun 6";"Jul 7";"Ago 8";"Set 9";"Out 10";"Nov 11";"Dez 12"
"CSM";"56";"71";"78";"71";"80";"82";"78";"57";"56";"64";"62";"29"
"CSM::Atendimento ao Usuário";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0"
"CSM::Demandas de datashow";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0"
"CSM::Manutenção de Laboratórios";"0";"0";"3";"2";"0";"0";"0";"0";"1";"1";"0";"0"
"CSM::Manutenção de equipamentos";"61";"29";"149";"41";"78";"80";"71";"131";"89";"66";"168";"32"
"CSM::Manutenção de equipamentos::Manutenção externa";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
